species,order,mass,hyp,hod,al,ol,sf,ot,cm,abd,el,kk,mm,mr,mke,nr,nv,sb,sh,shp,tn,tv
Aepyceros melampus,Artiodactyla,52.5,3,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1
Alcelaphus buselaphus,Artiodactyla,171,3,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1
Beatragus hunteri,Artiodactyla,80,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Cephalophus adersi,Artiodactyla,9.2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Cephalophus harveyi,Artiodactyla,14.5,2,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1,1
Cephalophus nigrifrons,Artiodactyla,13.9,2,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Cephalophus silvicultor,Artiodactyla,72.5,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cephalophus weynsi,Artiodactyla,17,2,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Connochaetes taurinus,Artiodactyla,180,3,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0
Damaliscus korrigum,Artiodactyla,112,3,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
Eudorcas thomsonii,Artiodactyla,20.5,3,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1
Hippotragus equinus,Artiodactyla,270,3,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hippotragus niger,Artiodactyla,227.5,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Kobus ellipsiprymnus,Artiodactyla,210,3,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1
Litocranius walleri,Artiodactyla,38,2,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1
Madoqua guentheri,Artiodactyla,7.5,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
Madoqua kirkii,Artiodactyla,5.3,2,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1
Nanger granti,Artiodactyla,55,3,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1
Neotragus moschatus,Artiodactyla,6.5,2,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0
Oreotragus oreotragus,Artiodactyla,13,3,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1
Oryx beisa,Artiodactyla,169,3,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1
Ourebia ourebi,Artiodactyla,17.2,3,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
Philantomba monticola,Artiodactyla,6.2,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0
Raphicerus campestris,Artiodactyla,10.5,3,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1
Redunca fulvorufula,Artiodactyla,29.5,3,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Redunca redunca,Artiodactyla,44.1,3,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1
Sylvicapra grimmia,Artiodactyla,19.5,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1
Syncerus caffer,Artiodactyla,580,3,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
Taurotragus oryx,Artiodactyla,570,3,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1
Tragelaphus eurycerus,Artiodactyla,329,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tragelaphus imberbis,Artiodactyla,70,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1
Tragelaphus scriptus,Artiodactyla,43.3,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Tragelaphus spekii ,Artiodactyla,78,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tragelaphus strepsiceros,Artiodactyla,213.5,2,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1
Giraffa camelopardalis,Artiodactyla,850,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1
Hippopotamus amphibius,Artiodactyla,1417.5,2,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1
Hylochoerus meinertzhageni,Artiodactyla,188.5,2,2,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0
Phacochoerus aethiopicus,Artiodactyla,50,3,3,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0
Phacochoerus africanus,Artiodactyla,82.5,3,3,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
Potamochoerus larvatus,Artiodactyla,97.5,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1
Equus burchellii,Perissodactyla,276,3,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
Equus grevyi,Perissodactyla,408,3,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1
Diceros bicornis,Perissodactyla,1180.5,2,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1
Ceratotherium simum,Perissodactyla,2177.6,3,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0
Cercocebus galeritus,Primates,7.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cercopithecus ascanius,Primates,3.5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cercopithecus mitis,Primates,5,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Cercopithecus neglectus,Primates,5.5,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Chlorocebus pygerythrus,Primates,5.2,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Colobus angolensis,Primates,9.8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Colobus guereza,Primates,10.6,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0
Erythrocebus patas,Primates,8.1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Papio anubis,Primates,19.4,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Papio cynocephalus,Primates,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Piliocolobus rufomitratus,Primates,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Galago gallarum,Primates,0.2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Galago senegalensis,Primates,0.2,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1
Galago zanzibaricus,Primates,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Otolemur crassicaudatus,Primates,1.5,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1
Otolemur garnettii,Primates,0.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Perodicticus potto,Primates,1.1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Loxodonta africana,Proboscidea,3940,3,3,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1
