Order,Genus,species,Specimen number (YPM),sex,mass (g),femur_circumference (mm),femur_diamter (mm),femur_length (mm),humerus_diameter (mm),humerus_length (mm),tarsus_circumference (mm),tarsus_diameter (mm),tarsus_length (mm),tibia_length (mm),humerus_circumference (mm),coracoid HAF (mm),coracoid shaft width,coracoid max length
Accipitriformes,Accipiter,cooperii,109131,m,349.00,15.98,5.16,60.69,5.3,57.83,10.38,3.5,66.58,82.72,16.45,4.77,3.49,35.42
Accipitriformes,Accipiter,cooperii,104408,m,349.00,15.52,4.94,53.89,4.73,72.76,13.07,3.99,57.85,76.65,15.5,4.82,3.07,31.79
Accipitriformes,Accipiter,cooperii,110886,m,349.00,14.26,4.72,61.49,4.25,68.64,9.54,2.97,65.66,81.78,13.59,4.71,2.85,34.98
Accipitriformes,Accipiter,cooperii,112327,f,529.00,21.06,6.29,67.4,5.89,75.75,15.35,4.02,69.22,88.56,15.29,5.72,3.69,38.5
Accipitriformes,Accipiter,cooperii,110889,f,529.00,17.49,6.06,68.61,5.29,78.59,14.69,4.36,73.08,93.8,15.08,5.61,3.51,39.82
Accipitriformes,Accipiter,cooperii,111218,f,529.00,18.05,6.14,64.79,5.88,74.94,14.61,4.13,66.1,86.41,16.32,5.68,3.68,40.14
Accipitriformes,Accipiter,gentilis,107594,m,912.00,17.26,6.4,74.31,7.24,88.95,15.56,4.95,73.78,99.42,20.08,6.97,4.29,48.8
Accipitriformes,Accipiter,gentilis,107015,m,912.00,22.38,6.84,73.87,8.31,88.13,15.97,4.42,69.46,93.29,21.34,7.04,4.31,46.4
Accipitriformes,Accipiter,gentilis,102868,m,912.00,21.75,8.42,88.81,7.31,114.87,25.72,7.22,89.24,116.6,25.98,7.01,6.19,50.19
Accipitriformes,Accipiter,gentilis,111217,m,912.00,23.37,6.42,73.61,7.49,90.79,16.64,4.18,69.69,94.88,23.87,6.97,4.33,45.2
Accipitriformes,Accipiter,gentilis,110381,m,912.00,19.86,6.41,75.18,7.76,89.94,19.59,4.5,70.76,95.2,21.96,7.02,4.24,47.73
Accipitriformes,Accipiter,gentilis,110379,f,1137.00,19.56,7.01,77.7,7.63,91.71,15.62,4.9,75.81,98.32,24.36,7.62,4.89,49.92
Accipitriformes,Accipiter,gentilis,111220,f,1137.00,22.13,7.84,79.26,9.85,96.1,15.67,4.49,73.22,102.58,24.08,7.63,4.47,48.36
Accipitriformes,Accipiter,novaehollandiae,104650,m,356.00,13.78,4.47,51.43,3.34,62.86,11.96,3.24,61.69,69.43,11.95,4.73,2.8,29.49
Accipitriformes,Accipiter,poliocephalus,104651,f,225.00,13.9,4.64,53.22,3.06,63,9.68,3.54,64.32,80.54,11.86,3.91,2.96,31.06
Accipitriformes,Accipiter,striatus,111221,m,103.00,8.84,2.81,40.47,3.9,44.15,5.28,1.76,50.42,54.11,11.42,2.84,2.05,24.79
Accipitriformes,Accipiter,striatus,112330,f,174.00,11.74,3.78,49.48,4.39,53.69,6.82,2.34,53.56,62.36,13.45,3.52,2.69,30.06
Accipitriformes,Accipiter,striatus,109159,f,174.00,11.91,3.93,46.32,4.18,51.17,6.69,2.33,53.24,61.47,12.88,3.53,2.56,29.87
