Common Name,Taxonomic ID,Order,Family,Tribe,Genus,species,Taxon used,Sample ID,material,material,d13C - bioapatite,d13C-keratin,d13C-collagen,d13C enamel - equivalent,d13C1750,Collection year,location,ecosystem - classified,COUNTRY,Latitude,Longitude,reference
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,Koch 1991,collagen,c,,,-15.8,-7.3,-6,1988,Amboseli,AMBO,Kenya,-2.7,37.3,29
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,Koch 1991,collagen,c,,,-14,-5.5,-4.3,1985,Amboseli,AMBO,Kenya,-2.7,37.3,29
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,Koch 1991,collagen,c,,,-13.6,-5.1,-3.9,1986,Amboseli,AMBO,Kenya,-2.7,37.3,29
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,LL99-178,enamel,e,-9.7,,,-9.7,-8.1,1999,Hopcraft Game Ranch,ATHI,Kenya,-1.5,37.1,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,LL99-42,enamel,e,-7.4,,,-7.4,-5.8,1999,Hopcraft Game Ranch,ATHI,Kenya,-1.5,37.1,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,LL99-120,enamel,e,-6.4,,,-6.4,-4.8,1999,Hopcraft Game Ranch,ATHI,Kenya,-1.5,37.1,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,LL99-183,enamel,e,-5,,,-5,-3.4,1999,Hopcraft Game Ranch,ATHI,Kenya,-1.5,37.1,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,LL99-130,enamel,e,-3.4,,,-3.4,-1.8,1999,Hopcraft Game Ranch,ATHI,Kenya,-1.5,37.1,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,L99-130,keratin,k,,-13.9,,-3,-1.3,1999,Hopcraft Game Ranch,ATHI,Kenya,-1.5,37.1,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,L99-183,keratin,k,,-13.9,,-3,-1.3,1999,Hopcraft Game Ranch,ATHI,Kenya,-1.5,37.1,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,LL99-37,enamel,e,-2.9,,,-2.9,-1.3,1999,Hopcraft Game Ranch,ATHI,Kenya,-1.5,37.1,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,L99-129,keratin,k,,-13.8,,-2.9,-1.2,1999,Hopcraft Game Ranch,ATHI,Kenya,-1.5,37.1,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,LL99-41,enamel,e,-2.4,,,-2.4,-0.8,1999,Hopcraft Game Ranch,ATHI,Kenya,-1.5,37.1,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,LL99-129,enamel,e,-1.5,,,-1.5,0.1,1999,Hopcraft Game Ranch,ATHI,Kenya,-1.5,37.1,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,LL99-40,enamel,e,-1.5,,,-1.5,0.1,1999,Hopcraft Game Ranch,ATHI,Kenya,-1.5,37.1,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,ODW 1,enamel,e,-7.8,,,-7.8,-6.3,1995,Ol Donyo Wuas,CHYU,Kenya,-2.5,37.8,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K97-383-Lewa,enamel,e,-7,,,-7,-5.4,1997,Lewa,LAIK,Kenya,0.2,37.5,36
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K97-391-Lewa,enamel,e,-5.3,,,-5.3,-3.7,1997,Lewa,LAIK,Kenya,0.2,37.5,36
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K01-LAI-DJA-32,enamel,e,-8.2,,,-8.2,-6.5,2001,Mpala,LAIK,Kenya,0.3,36.9,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K98-Lai-322,enamel,e,-7.7,,,-7.7,-6.1,1998,El Karama,LAIK,Kenya,0.2,36.9,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K01-LAI-204,enamel,e,-7.8,,,-7.8,-6.1,2001,Mpala,LAIK,Kenya,0.3,36.9,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K97-397-Lewa,enamel,e,-7.6,,,-7.6,-6.1,1997,Lewa,LAIK,Kenya,0.2,37.5,this study
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,K01-210-LAI,enamel,e,-7.5,,,-7.5,-5.8,2001,Mpala,LAIK,Kenya,0.3,36.9,this study
