a ,?Hippotragini in Turkana fossil database (http://www.museums.or.ke/ downloaded November 2011),,,
 b ,?Bovini in Turkana fossil database (http://www.museums.or.ke/ downloaded November 2011)i,,,
 c ,Aepyceros in Turkana fossil database (http://www.museums.or.ke/ downloaded November 2011),,,
 d ,Alcelaphini in Turkana fossil database (http://www.museums.or.ke/ downloaded November 2011),,,
 e ,Bovini in Turkana fossil database (http://www.museums.or.ke/ downloaded November 2011),,,
 f ,Tragelephini in Turkana fossil database (http://www.museums.or.ke/ downloaded November 2011),,,
 g ,Kolpochoerus in Turkana fossil database (http://www.museums.or.ke/ downloaded November 2011),,,
 h ,Hippotragini in Turkana fossil database (http://www.museums.or.ke/ downloaded November 2011),,,
 m ,Natoo in Turkana database (http://www.museums.or.ke/ downloaded Nov 2011),,,
 n ,Kalachoro in Turkana database (http://www.museums.or.ke/ downloaded Nov 2011),,,
 o ,Lokalalei in Turkana database (http://www.museums.or.ke/ downloaded Nov 2011),,,
 p ,Lomekwi in Turkana database (http://www.museums.or.ke/ downloaded Nov 2011),,,
,,,,
,http://www.museums.or.ke/ ,,,
,"from Reference 41 (Bobe, 2011)",,,
