common,tax,order,family,tribe,genus,species,taxon,location,ecosystem,country
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Aberdares,ABER,Kenya
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Aberdares,ABER,Kenya
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Aberdares,ABER,Kenya
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Aberdares - salient,ABER,Kenya
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Aberdares - salient,ABER,Kenya
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Aberdares - salient,ABER,Kenya
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Aberdares,ABER,Kenya
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Aberdares - salient,ABER,Kenya
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Aberdares - salient,ABER,Kenya
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Aberdares,ABER,Kenya
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Aberdares,ABER,Kenya
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Aberdares,ABER,Kenya
Harvey's duiker,Cephalophus natalensis,Artiodactyla,Bovidae,Cephalophini,Cephalophus,natalensis,Cephalophini,Aberdares,ABER,Kenya
Harvey's duiker,Cephalophus natalensis,Artiodactyla,Bovidae,Cephalophini,Cephalophus,natalensis,Cephalophini,Aberdares,ABER,Kenya
Weyn's duiker,Cephalophus weynsi,Artiodactyla,Bovidae,Cephalophini,Cephalophus,weynsi ,Cephalophini,N of Muthaiga,ABER,Kenya
