ecosystem,MAT,MAP,,,,
ABER,11.6,1420,,,,
AMBO,24.0,350,,,,
ATHI,19.4,850,,,,
AWSH,25.0,480,,,,
BALE,9.0,1220,,,,
CHYU,21.0,650,,,,
ETHR,20.2,510,,,,
GMBA,24.4,1250,,,,
ITRI,22.4,1640,,,,
KBLE,19.0,1660,,,,
KCST,25.3,1230,,,,
KDPO,25.1,810,,,,
KZBG,20.1,1610,,,,
LAIK,21.8,640,,,,
LEDW,25.3,680,,,,
LOPE,25.5,1490,,,,
MAGO,26.0,830,,,,
MARA,20.5,1000,,,,
MBRO,21.3,890,,,,
MERU,23.5,380,,,,
MTKE,7.4,1250,,,,
NAKG,17.7,870,,,,
NBNP,18.8,910,,,,
RFTV,17.3,620,,,,
SAMB,23.5,380,,,,
SIME,8.7,1600,,,,
TANA,27.5,475,,,,
TRKG,29.2,180,,,,
TRKX,29.2,180,,,,
TSVO,24.9,550,,,,
