common_name,Order,Family,Genus,Species,astragalus,calcaneum_B,calcaneum_length_A,clavical,femur_distal_A, ,femur_length,femur_promixal_B,femur_proximal_A,fibula_length_C,fore_p1_i,fore_p1_ii,fore_p1_iii,fore_p1_iv,fore_p1_v,fore_p2_i,fore_p2_ii,fore_p2_iii,fore_p2_iv,fore_p2_v,fore_p3_i,fore_p3_ii,fore_p3_iii,fore_p3_iv,fore_p3_v,hind_p1_i,hind_p1_ii,hind_p1_iii,hind_p1_iv,hind_p1_v,hind_p2_i,hind_p2_ii,hind_p2_iii,hind_p2_iv,hind_p2_v,hind_p3_i,hind_p3_ii,hind_p3_iii,hind_p3_iv,hind_p3_v,humerus_distal_A,humerus_distal_B,humerus_length_C,humerus_promixal_B,humerus_proximal_A,mass_max_kg,mass_min_kg,metacarpal_A,metacarpal_B,metatarsal_C,metatarsal_D,metacarpal_i,metacarpal_ii,metacarpal_iii,metacarpal_iv,metacarpal_overall,metacarpal_v,metatarsal_i,metatarsal_ii,metatarsal_iii,metatarsal_iv,metatarsal_overall,metatarsal_v,patella_length,pelvis_A,pelvis_B,pelvis_C,pelvis_D,pelvis_length_D,radius_distal_A,radius_length (B),radius_proximal_A,radius_ulna_fused_A,radius_ulna_fused_A.1,radius_ulna_fused_B,radius_ulna_fused_B.1,radius_ulna_fused_C,radius_ulna_fused_C.1,radius_ulna_fused_D,radius_ulna_fused_D_breaks,radius_ulna_fused_adult_A,radius_ulna_fused_adult_B,radius_ulna_fused_adult_C,radius_ulna_fused_adult_D,radius_ulna_fused_adult_E,radius_ulna_fused_adult__proximal_C,radius_ulna_fused_adult_distal_A,radius_ulna_fused_adult_distal_B,radius_ulna_fused_adult_proximal_A,radius_ulna_fused_adult_proximal_B,radius_ulna_fused_adult_proximal_D,radius_ulna_fused_adult_proximal_E,radius_ulna_fused_distal_A,radius_ulna_fused_distal_B,radius_ulna_fused_length_C,radius_ulna_fused_proximal_A,radius_ulna_fused_proximal_A_breaks,radius_ulna_fused_proximal_B,radius_ulna_fused_proximal_B_breaks,radius_ulna_fused_proximal_C_breaks,ribs_first,ribs_last,ribs_midthoracic,scapula_A,scapula_B,scapula_C,scapula_D,scapula_length,tibia_distal_A,tibia_distal_B,tibia_fibula_length,tibia_length (c),tibia_length_D,tibia_proximal_A,tibia_proximal_B,ulna_distal_A,ulna_length (c) ,ulna_proximal_A,ulna_proximal_B,vertebra_caudal_middle,vertebrae_atlas_female_A ( or no sex),vertebrae_atlas_female_B ( or no sex),vertebrae_atlas_female_C ( or no sex),vertebrae_atlas_male_A ,vertebrae_atlas_male_B,vertebrae_atlas_male_C,vertebrae_axis_female_A (or no sex) ,vertebrae_axis_female_B (or no sex) ,vertebrae_axis_male_A,vertebrae_axis_male_B,vertebrae_c3_female_A,vertebrae_c3_female_B,vertebrae_c3_female_C,vertebrae_c3_female_D,vertebrae_c3_male_A,vertebrae_c3_male_B,vertebrae_c3_male_C,vertebrae_c3_male_D,vertebrae_c6_female_A,vertebrae_c6_female_B,vertebrae_c6_female_C,vertebrae_c6_female_D,vertebrae_c6_male_A,vertebrae_c6_male_B,vertebrae_c6_male_C,vertebrae_c6_male_D,vertebrae_c7_female_A,vertebrae_c7_female_B,vertebrae_c7_female_C,vertebrae_c7_male_A,vertebrae_c7_male_B,vertebrae_c7_male_C,vertebrae_caudal_first,vertebrae_caudal_last,vertebrae_lastB,vertebrae_last_A,vertebrae_last_B,vertebrae_lumbar_A,vertebrae_lumbar_B,vertebrae_sacrum_length,vertebrae_t4_A,vertebrae_t4_B
elephant,Proboscidea,Elephantidae,Loxodonta,africana,109,,190,,168,100,1000,126,270,550,90,68,80,77,85,40,37,40,40,35,,,,,,60,55,70,65,50,15,25,32,35,30,,,,,,117,90.5,835,114,178,6500,3500,,,,,105,171,192,168,,159,73,114,145,130,,80,146,142,320,790,850,,134,680,94.5,,,,,,,,,,,,,,,,,,,,,,,512,38,,76.5,,,520,460,925,210,116,187,710,,127,79,,,625,157,54,134,765,85,176,,293,193,165,,,,132,220,,,46.5,206,141.5,205,,,,,,,,,,,,,44,300,145,,,,,,,220,64,195,72,340,335,88
hippo,Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,77,126,186,,162,107,521,82,186,290,,59,59,60,58,,45,35,34,,,,24,25,,,54,60,59,52,,30.5,37,39,35,,,30,25,21.5,111,60.5,492,96,144,2633,1135,,,,,,116,147,135,,102,,90.5,126,130,,91.5,90,83,350,345,750,,,,,,,,,,,,,,,,,,,,,,,,,108,251,346,52.5,,78.5,,,270,480,560,86.5,68.5,81,403,,85,57.5,,,333,135.5,56,,,,,50,285,153,140,,,,125,150,,,55,187,137,133,,,,,,,,,,,,,51.5,128,217,,,,60,36,,163,75,375,80,320,247,60
giraffe,Artiodactyla,Giraffidae,Giraffa,camelopardalis,77,143,205,,147,114,516,53,185,68.5,,,132,,,,,56,,,,,113,,,,,117,,,,,53,,,,,97,,,122,54.5,490,125,157,1180,1180,89.5,49.5,80,39.5,,,,,633,,,,,,640,,97,99,208,345,515,,,687,111,,,,,,,,687,,,,,,,,,,,,,107,687,,,48.5,,65,766,500,470,730,99,87.5,94,648,,109,71.5,,,642,161.5,71,,325,48.5,65,56,118,92,155,,,,254,125,,,246,62.5,75,128,,,,,,,,,,,,,235,100,183,,,,59,,,160,52,205,55,225,335,63
camel,Artiodactyla,Camelidae,Camelus,dromedarius,55.5,90.5,135,,99.5,70.5,472,46.5,113,40.5,,,95,95,,,,54,54,,,,23.5,23.5,,,,82.5,82.5,,,,49,49,,,,23,23,,81.5,38.5,375,60.5,105,650,460,67,38.5,58.5,53,,,,,365,,,,,,387,,88,57,136,238,365,,,,,,,,,,,,,,,,,,,,,,,,,79,500,,,,,,,190,400,465,61.5,54,58.5,378,,83.5,39.5,,,442,111,41,,,,,31,115,76.5,101,,,,182,95,,,161,96.5,69,85,,,,,135,150,85,,,,,,123,92,152,,,,30,23,,180,66,345,68,205,235,66.5
baboon,Primates,Cercopithecidae,Papio,cynocephalus,30.5,,47.5,73,42,20.5,237,15.5,55,203,18,30,,,,12,18,,,,,12,,,,20,34,,,,20,19,,,,13,13,,,,29,13.5,228,25.5,29.5,35,15,,,,,36.5,57.5,54.5,54,,55,47.5,68,69,71,,70.5,,31.5,48.5,47.5,155,,24.5,204,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,100,115,28,19.5,29,137,,28.5,20.5,,,224.5,43.5,27,,227,17.5,25.5,42,58,33,33,,,,29,40,,,17.5,41.5,25,37.5,,,,,,,,,,,,,,,,,,,25,24,,53,22,,,61,56.5,11.5
colobus,Primates,Haplorhini,Colobus,guereza,25.5,,36.5,66,31.5,16.5,201,14,34,174.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,10,148,148,20.5,15,12,,,,,,,,,,,,,,,,,,24,47,49.5,154,,13.5,136,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,11.5,17.5,79.5,,22,16,,,186,32,22.5,,153,10.5,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vervet,Primates,Cercopithecidae,Chlorocebus,pygerythrus,16,,26.5,46.5,19.5,9.5,143,8.5,23.5,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,7.5,121,13,13.5,,4.5,,,,,,,,,,,,,,,,,,16.5,32,27,100.5,,13.5,119,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,10.5,14.5,69.5,,13,9.5,,,135,19.5,13,,133,8.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wilddog,Carnivora,Canidae,Lycaon,pictus,31,40,53.5,,35.5,28,214,21.5,42.5,205,,,30,,,,,18,,,,,,,,,,32,,,,,20,,,,,,,,25.5,16.5,196.5,30,35,32,25,,,,,,71.5,82,82,,69.5,,82,92,93,,80,,28,59.5,48.5,158.5,,23,202,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,23.5,31,158,,25,17,,,213,38,29.5,,238,20.5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dog,Carnivora,Canidae,Canis,lupus,31,38,51,,28,21.5,158,17,32,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,11,139,18.5,24,30,20,,,,,,,,,,,,,,,,,,22.5,,39.5,,,23,182,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,15.5,22.5,118,,20.5,13.5,,,156,31,21.5,,215,20,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aardwolf,Carnivora,Hyaenidae,Proteles,cristata,22,28.5,36,,27,18.5,151,15,31.5,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,12.5,154,21,25,13.5,10.5,,,,,,,,,,,,,,,,,,19.5,31,40,101,,22.5,149,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,15.5,23.5,116,,19,12,,,152,28.5,12,,167,13.5,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
