FAMILY	SPECIES	Code	F.B.	N-F.B	BM	HL	dpL	bcL	deHW	dHW	UL	peUW	deUW	dUW	RL	dRW	CmL	CmW	DCmW	FL	dFWml	dFWcc	TL	TmL
Anatidae	Cygnus olor	56584	CF	A	0,9143	2,4216	1,9021	1,5454	1,5244	1,1793	2,4010	1,2445	1,3202	1,0261	2,3771	0,8943	2,1015	0,8432	1,0849	1,9790	1,0523	0,9777	2,2818	2,0073
	C. olor	56585	CF	A	0,9750	2,4399	1,9342	1,5760	1,5410	1,2082	2,4196	1,3359	1,3477	1,0294	2,4009	0,8927	2,1153	0,8537	1,1048	1,9955	1,0257	0,9800	2,3102	2,0183
	C. olor	87398	CF	A	0,9590	2,4580	1,8884	1,6003	1,5546	1,2039	2,4197	1,3066	1,3746	1,0558	2,4025	0,9191	2,1235	0,8802	1,1146	2,0256	1,0546	0,9750	2,3166	2,0446
	Anser albifrons	48226	CF	A	0,3222	2,1533	1,6117	1,3310	1,3316	0,9908	2,1380	1,1042	1,1535	0,8727	2,1107	0,6803	1,9156	0,6730	0,9600	1,8471	0,8494	0,8439	2,1126	1,8630
	A. albifrons	48227	CF	A	0,3655	2,1568	1,6145	1,3522	1,3197	0,9854	2,1373	1,0821	1,1620	0,8727	2,1143	0,6964	1,9044	0,6998	0,9694	1,8370	0,8639	0,8338	2,0824	1,8193
	Branta canadensis	36218	CF	A	0,5735	2,2425	1,7065	1,4385	1,3959	1,0770	2,2122	1,1489	1,2472	0,9881	2,1826	0,7709	1,9845	0,7889	1,0737	1,9226	0,9395	1,0030	2,1884	1,9345
	Anas platyrhynchos	54021	CF	A	0,0607	1,9585	1,3290	1,1738	1,1553	0,8645	1,9009	0,9263	1,0090	0,7152	1,8614	0,4757	1,7628	0,6355	0,9036	1,6922	0,6294	0,6884	1,9121	1,6358
	A. platyrhynchos	56923	CF	A	0,0154	1,9683	1,3560	1,1538	1,1547	0,8414	1,8969	0,9370	1,0154	0,7284	1,8614	0,5038	1,7590	0,5933	0,8960	1,7064	0,6314	0,7243	1,9138	1,6516
	A. platyrhynchos	56924	CF	A	0,0116	1,9488	1,3062	1,1617	1,1183	0,8082	1,8806	0,9474	1,0043	0,7118	1,8440	0,5038	1,7393	0,5977		1,6941	0,6042	0,6920	1,9159	1,6450
	A. platyrhynchos	56702	CF	A	0,1139	1,9973	1,3653	1,2111	1,1807	0,8657	1,9277	0,9581	1,0414	0,7709	1,8945	0,5391		0,6749		1,7262	0,6684	0,7634	1,9483	1,6486
	Anas strepera	32180	CF	A	-0,1947	1,9490	1,3187	1,1222	1,1297	0,8312	1,8829	0,9170	1,0060	0,7275	1,8461	0,4409	1,7441	0,5977	0,8727	1,6694	0,5682	0,6929	1,9089	1,6102
	A. strepera	33966	CF	A	-0,0926	1,9553	1,3257	1,1682	1,1572	0,8432	1,8872	1,0000	1,0069	0,7459	1,8509	0,4900	1,7524	0,5877	0,8954	1,6721	0,5694	0,6365	1,9211	1,6299
	A. strepera	65153	CF	A	-0,0768	1,9499	1,3316	1,1065	1,1086	0,8062	1,8851	0,9370	0,9970	0,7118	1,8492	0,4757	1,7483	0,5705	0,8698	1,6715	0,6010	0,6803	1,8980	1,6182
	A. strepera	37537	CF	A	-0,0526	1,9211	1,3090	1,1287	1,1255	0,8182	1,8486	0,9360	1,0022	0,7135	1,8233	0,4771	1,7103	0,5866	0,8943	1,6320	0,5821	0,6405	1,8770	1,5893
	Anas crecca	56976	CF	A	-0,4547	1,7800	1,1732	0,9042	0,9661	0,6263	1,7212	0,7917	0,8451	0,5786	1,6846	0,3560	1,5649	0,4639	0,7664	1,5270	0,4548	0,5366	1,7696	1,4914
	A. crecca	*23614	CF	A	-0,5229	1,7649	1,1578	0,9196	0,9666	0,6415	1,7088	0,7243	0,8274	0,5659	1,6687	0,2148	1,5654	0,4518	0,7177				1,7569	1,4796
	A. crecca	33113	CF	A	-0,4503	1,7454	1,1590	0,9330	0,9479	0,6454	1,6788	0,7226	0,8195	0,5289	1,6418	0,2945	1,5444	0,4166	0,7235	1,4990	0,4014	0,4969	1,7330	1,4608
	A. crecca	59245	CF	A	-0,4461	1,7601	1,1300	0,9180	0,9886	0,6222	1,6971	0,7574	0,8312	0,5416	1,6595	0,3304	1,5648	0,4362	0,7308	1,5079	0,4639	0,5106	1,7693	1,4767
	A. crecca	85409	CF	A	-0,5157	1,7553	1,1245	0,9090	0,9430	0,6385	1,6964	0,7966	0,8162	0,5302	1,6605	0,3096	1,5569	0,4048	0,7348	1,5115	0,4233	0,4886	1,7517	1,4600
	A. crecca	*23608	CF	A	-0,4318	1,7607	1,1764	1,0212	0,9647	0,6665	1,6932	0,7427	0,7388	0,5490	1,6556	0,1959	1,5532	0,4698	0,7308	1,5159	0,4564	0,4942	1,7684	1,4757
	A. crecca	*20421	CF	A	-0,4547	1,7640	1,1239	0,9170	0,9576	0,6840	1,7157	0,7292	0,8293	0,5922	1,6757	0,2529	1,5731	0,4814	0,7372	1,5177	0,4800	0,5052	1,7534	1,4803
	A. crecca	*23610	CF	A	-0,4168	1,7787	1,1729	0,9666	0,9741	0,6902	1,7089	0,7388	0,8451	0,5705	1,6775	0,2175	1,5780	0,4814	0,7490	1,5329	0,4669	0,5276		1,4968
	Aythya collaris	41673	CF	A	-0,1183	1,8783	1,2711	1,0546	1,0261	0,7110	1,8148	0,8293	0,9133	0,6263	1,7810	0,4099	1,6228	0,4757	0,7612	1,6336	0,6031	0,6637	1,8631	1,5369
	A. collaris	41670	CF	A	-0,0287	1,8909	1,2553	1,0715	1,0469	0,7380	1,8319	0,8513	0,9085	0,6294	1,8006	0,3892	1,6256	0,4997	0,7760	1,6428	0,5821	0,6415	1,8669	1,5352
	A. collaris	37018	CF	A	-0,1117	1,8858	1,2686	1,0386	1,0241	0,6739		0,7959	0,8675	0,6021	1,7889	0,3365	1,6240	0,4200	0,7292	1,6433	0,5263	0,6053	1,8561	1,5310
	A. collaris	41671	CF	A	-0,1141	1,8817	1,2679	1,0449	1,0492	0,6866	1,8230	0,8439	0,8943	0,6138	1,7900	0,3802	1,6233	0,4503	0,7316	1,6429	0,5855	0,6284	1,8662	1,5336
	Oxyura jamaicensis	33103	CF	A	-0,3769	1,8164	1,2240	0,9796	0,9350	0,5786	1,7560	0,7292	0,7634	0,4728	1,7292	0,2455	1,5236	0,3365	0,5922	1,5662	0,5366	0,5740	1,8083	1,4915
	O. jamaicensis	50060	CF	A	-0,2007	1,8466	1,2762	1,0298	0,9741	0,5966	1,7934	0,7738	0,8248	0,5132	1,7652	0,2967	1,5483	0,3927	0,6415	1,5944	0,4997	0,6395	1,8326	1,5306
	O. jamaicensis	46736	CF	A	-0,2182	1,8376	1,2521	1,0166	0,9552	0,5900	1,7755	0,7521	0,7868	0,5490	1,7466	0,2577	1,5405	0,3522	0,6263	1,6054	0,5900	0,5999	1,8330	1,5265
	O. jamaicensis	36954	CF	A	-0,3344	1,8380	1,2538	0,9754	0,9335	0,6335	1,7751	0,6902	0,7738	0,5159	1,7532	0,2900	1,5256	0,3617	0,6274	1,6044	0,5366	0,6304	1,8414	1,5163
	Tadorna tadorna	56439	CF	A	0,0000	2,0105	1,4451	1,2111	1,1821	0,8445		0,9908	1,0766	0,7634	1,9533	0,5635	1,7813	0,6599	0,9159	1,7244	0,6794	0,7177	1,9911	1,7480
	T. tadorna	56454	CF	A	-0,0132	1,9887	1,3995	1,1670	1,1617	0,8332	1,9601	0,9590	1,0191	0,7042	1,9308	0,5276	1,7502	0,6021	0,8663	1,6912	0,7050	0,7536	1,9463	1,6983
	T. tadorna	59707	CF	A	-0,0223	1,9819	1,4327	1,2212	1,1602	0,8519	1,9596	0,9289	1,0430	0,7412	1,9322	0,4997	1,7607	0,5966	0,8971	1,6772	0,7185	0,7619	1,9660	1,7133
	T. tadorna	56451	CF	A	-0,0506	1,9922	1,4264	1,1898	1,1623	0,8261	1,9746	0,9420	1,0453	0,7657	1,9442	0,5079	1,7801	0,5911	0,8837	1,6987	0,6365	0,7582	1,9617	1,7152
	Mergus merganser	35937	CF	A	0,1205	1,9765	1,3589	1,1526	1,1443	0,8407	1,9008	0,9445	1,0310	0,7536	1,8711	0,5106	1,7586	0,6010	0,8627	1,7243	0,6730	0,8028	1,9842	1,6931
	M. merganser	33031	CF	A	0,0453	1,9301	1,3547	1,0938	1,0853	0,7903	1,8550	0,9196	0,9978	0,6929	1,8228	0,4669	1,7106	0,5224	0,8222	1,6670	0,6590	0,7796	1,9345	1,6574
	M. merganser	35936	CF	A	0,1143	1,9279	1,3231	1,1089	1,1055	0,7701		0,9020	0,9934	0,7024	1,8153	0,4654	1,7126	0,5587	0,8633	1,6661	0,6712	0,7846	1,9329	1,6538
	M. merganser	36165	CF	A	0,1340	1,9716	1,3647	1,1529	1,1691	0,8332	1,8947	0,9415	1,0515	0,7716	1,8625	0,5391	1,7577	0,5955	0,8579	1,7145	0,6580	0,7774	1,9781	1,6919
Megapodidae	Megapodius freycinet	60186	CF	TG	-0,0915	1,8710	1,2615	1,1278	1,1626	0,8351	1,9222	0,9380	0,9415	0,6523			1,5895	0,4983		1,8392	0,8156	0,8414	2,0223	1,8575
	M. freycinet	60327	CF	TG	-0,0655	1,8687	1,2951	1,1278	1,1405	0,8248	1,8987	0,9304	0,9395	0,6929	1,8629	0,4116	1,5905	0,5159	0,8457	1,8312	0,8089	0,7627	1,9820	1,8259
	M. freycinet	63063	CF	TG	-0,2480	1,8563	1,3010	1,1149	1,1242	0,7604		0,9186	0,9217	0,6474	1,8490	0,3598	1,5649	0,4233	0,7945	1,8143	0,7528	0,7716		1,8050
Meleagridae	Meleagris gallopavo	43397	CF	TG	0,5866	2,0786	1,5007	1,2732	1,4130	1,0931	2,0788	1,1841	1,1931	0,9494	2,0309	0,6253	1,7838	0,6812	1,1405	2,0455	1,0048	0,9430	2,2579	2,0935
	M. gallopavo	43398	CF	TG	0,9240	2,1874	1,6043	1,4666	1,5017	1,1790	2,1791	1,2943	1,2920	1,0183	2,1303	0,7694	1,8746	0,8075	1,2256	2,1430	1,1109	1,0599	2,3619	2,2007
	M. gallopavo	59381	CF	TG	0,5582	2,0896	1,5363	1,3426	1,4262	1,1196	2,0793	1,2162	1,2114	0,9576	2,0338	0,6435	1,8151	0,7059	1,1261	2,0661	1,0656	0,9713	2,2802	2,1233
	M. gallopavo	62726	CF	TG	0,6569	2,1055	1,5150	1,3541	1,4406	1,1235	2,1018	1,2135	1,2269	0,9768	2,0509	0,6464	1,8058	0,7427	1,1620	2,0672	1,0099	0,9868		2,1124
Tetraonidae	Lagopus lagopus	58894	CF	TG	-0,2090	1,7871	1,1824	0,9657	1,0756	0,7657	1,7714	0,9101	0,9294	0,6160	1,7235	0,3522	1,5099	0,5024	0,8432	1,7983	0,6415	0,6444	1,9041	1,6043
