TAXA,SPECIES,Age,BP,HL,dpL,bcL,deHW,dHW,UL,peUW,deUW,dUW,RL,dRW,CmL,CmW,DCmW,FL,dFWml,dFWcc,TL,TmL
Archaeopterygidae,Archaeopteryx lithographica,Early Tithonian,190,1.8727,1.4315,0.9080,,0.6360,1.8274,,0.8186,0.5659,1.8109,0.3979,,0.5106,,1.7853,,0.5798,1.9069,1.6444
Archaeopterygidae,A. lithographica,Early Tithonian,190,1.8028,1.3023,,,0.5849,1.7407,0.6454,0.7342,0.3979,1.7356,0.3010,1.4824,0.3409,0.6464,1.7210,,0.5441,1.8357,1.5682
Archaeopterygidae,A. lithographica,Early Tithonian,190,1.6181,,,,0.4314,1.5623,,,0.2553,1.5441,0.0792,1.2951,,0.4440,1.5682,,0.5185,1.7202,1.4800
Archaeopterygidae,A. lithographica,Early Tithonian,190,1.9191,,,1.0414,0.8325,1.8692,0.8751,,0.6532,1.8670,0.5441,1.6056,0.5593,0.9207,1.8261,,0.8129,1.9638,1.6767
Archaeopterygidae,A. lithographica,Early Tithonian,190,1.7551,1.2938,0.8376,,0.4914,1.7067,0.6675,0.6946,0.3324,1.6848,0.2504,1.4153,0.1399,0.6117,1.7016,,0.5106,1.8727,1.5977
Jeholornithidae,Jeholornis prima,Middle Aptian ,113,2.0388,1.6397,1.1458,1.2449,0.9754,2.0339,1.0237,,0.8710,2.0152,0.6992,1.7531,0.6920,1.0993,1.8780,0.8609,,1.9760,
Jeholornithidae,J. prima,Middle Aptian ,113,1.9493,1.5388,1.0475,1.2097,0.8837,1.9482,0.9715,,,1.9328,0.6191,1.6734,0.6375,1.0573,1.7932,0.8055,0.8245,1.8954,1.5710
Sapeornithidae,Sapeornis chaoyangensis,Middle Aptian ,113,2.1204,1.6772,1.0848,1.2290,0.9364,2.1266,0.9661,0.9146,0.7987,2.1208,0.5866,1.7960,0.6304,0.8338,1.9071,0.7948,0.7948,1.9215,1.6489
Sapeornithidae,S. chaoyangensis,Middle Aptian ,113,2.0882,1.6449,1.0471,1.1391,0.9471,2.0876,1.0704,0.9680,0.8154,2.0712,0.7202,1.7748,0.6663,0.8357,1.8661,,0.8317,1.9094,1.6545
Sapeornithidae,S. chaoyangensis,Middle Aptian ,113,2.0731,1.6083,0.9375,1.2333,0.9240,2.0930,0.9654,0.9494,0.8840,2.0865,0.5334,1.7678,0.6263,0.8129,1.8609,0.8834,0.8834,1.9316,1.6197
Sapeornithidae,S. chaoyangensis,Middle Aptian ,113,1.9931,1.5271,0.9235,1.0445,0.7536,1.9866,0.8837,0.8882,0.7076,1.9641,0.5536,1.6546,0.5428,0.7356,1.7526,,0.5888,1.8023,1.4901
Confuciusornithidae,Eoconfuciusornis zhenghi,End Hauterivian-Lower Aptian,125,1.6052,1.2181,0.8429,0.7396,0.4997,1.5522,0.7135,0.6767,0.5065,1.5216,0.3541,1.3056,0.3541,0.6222,1.5538,,0.5527,1.6243,1.3628
Confuciusornithidae,Confuciusornis sp,Lower Aptian,125,1.8688,1.5171,1.1451,1.1565,0.8830,1.7643,0.9686,0.8482,0.7089,1.7458,0.5270,1.5397,0.6335,0.9080,1.7779,0.8119,0.8119,1.8447,1.5139
Confuciusornithidae,C. sanctus,Lower Aptian,125,1.7208,1.3450,0.9243,1.0527,0.7255,1.6742,0.7743,0.7563,0.6088,1.6528,0.3498,1.4281,0.4624,0.7243,1.6546,,0.6630,1.7156,1.4022
Confuciusornithidae,C. sanctus,Lower Aptian,125,1.7269,1.3264,1.0469,1.0779,0.7727,1.6635,0.8828,0.7694,0.6175,1.6375,0.3997,1.4068,0.5391,0.8122,1.6677,0.7459,0.7459,1.7306,1.4285
Confuciusornithidae,C. sanctus,Lower Aptian,125,1.7266,1.3216,1.0306,1.0554,0.7173,1.6499,0.8439,0.6561,0.6107,1.6336,0.3766,1.4057,0.5599,0.8513,1.6614,0.7101,0.7050,1.7288,1.4153
Confuciusornithidae,C. sanctus,Lower Aptian,125,1.8103,1.4425,1.1148,1.0806,0.7880,1.7387,0.8965,0.7803,0.7084,1.7392,0.4875,1.5152,0.5428,0.8686,1.7373,,0.7976,1.8077,1.4892
Confuciusornithidae,C. sanctus,Lower Aptian,125,1.7347,1.3298,1.2056,1.0037,0.7156,1.6500,0.8351,0.7803,0.5866,1.6298,0.3617,1.4302,0.5611,0.7559,1.6398,,0.7427,1.7168,1.3992
